NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC787;0;2;0;-9;0
NGC788;0;2;1;-6;48
NGC789;0;2;2;32;4
NGC790;0;2;1;-5;22
NGC791;0;2;1;8;29
NGC792;0;2;2;15;42
NGC793;0;2;2;31;58
NGC794;0;2;2;18;22
NGC795;0;1;59;-55;49
NGC796;0;1;56;-74;13
NGC797;0;2;3;38;7
NGC798;0;2;3;32;4
NGC799;0;2;2;0;6
NGC800;0;2;2;0;7
NGC801;0;2;3;38;15
NGC802;0;1;59;-67;52
NGC803;0;2;3;16;1
NGC804;0;2;4;30;49
NGC805;0;2;4;28;48
NGC806;0;2;3;-9;55
NGC806;0;2;3;-9;56
NGC807;0;2;4;28;59
NGC808;0;2;3;-23;18
NGC809;0;2;4;-8;44
NGC810;0;2;5;13;15
NGC810;0;2;5;13;15
NGC811;0;2;4;-10;6
NGC812;0;2;6;44;34
NGC813;0;2;1;-68;26
NGC814;0;2;10;-15;46
NGC815;0;2;10;-15;48
NGC816;0;2;8;29;15
NGC817;0;2;7;17;12
NGC818;0;2;8;38;46
NGC819;0;2;8;29;14
NGC820;0;2;8;14;20
NGC821;0;2;8;10;59
NGC822;0;2;6;-41;9
NGC823;0;2;7;-25;26
NGC824;0;2;6;-36;27
NGC825;0;2;8;6;19
NGC826;0;2;9;30;44
NGC826;0;2;9;30;44
NGC827;0;2;8;7;58
NGC828;0;2;10;39;11
NGC829;0;2;8;-7;47
NGC830;0;2;8;-7;46
NGC831;0;2;9;6;5
NGC832;0;2;11;35;32
NGC833;0;2;9;-10;8
NGC834;0;2;11;37;39
NGC835;0;2;9;-10;8
NGC836;0;2;10;-22;3
NGC837;0;2;10;-22;25
NGC838;0;2;9;-10;8
NGC839;0;2;9;-10;11
NGC840;0;2;10;7;50
NGC841;0;2;11;37;29
NGC842;0;2;9;-7;45
NGC843;0;2;11;32;5
NGC844;0;2;10;6;2
NGC845;0;2;12;37;28
NGC846;0;2;12;44;34
NGC847;0;2;12;44;34
